year_month,type,variable,value
2019 - 10,users,cr_view_cart,34.46
2019 - 11,users,cr_view_cart,26.98
2019 - 12,users,cr_view_cart,23.3
2020 - 1,users,cr_view_cart,23.29
2020 - 2,users,cr_view_cart,23.54
2019 - 10,actions,cr_view_cart,64.67
2019 - 11,actions,cr_view_cart,62.12
2019 - 12,actions,cr_view_cart,52.75
2020 - 1,actions,cr_view_cart,55.39
2020 - 2,actions,cr_view_cart,57.29
2019 - 10,users,cr_cart_purch,19.25
2019 - 11,users,cr_cart_purch,32.86
2019 - 12,users,cr_cart_purch,30.69
2020 - 1,users,cr_cart_purch,30.46
2020 - 2,users,cr_cart_purch,28.86
2019 - 10,actions,cr_cart_purch,20.37
2019 - 11,actions,cr_cart_purch,24.99
2019 - 12,actions,cr_cart_purch,23.37
2020 - 1,actions,cr_cart_purch,23.36
2020 - 2,actions,cr_cart_purch,21.62
2019 - 10,users,cr_view_purch,6.63
2019 - 11,users,cr_view_purch,8.86
2019 - 12,users,cr_view_purch,7.15
2020 - 1,users,cr_view_purch,7.09
2020 - 2,users,cr_view_purch,6.79
2019 - 10,actions,cr_view_purch,13.17
2019 - 11,actions,cr_view_purch,15.52
2019 - 12,actions,cr_view_purch,12.33
2020 - 1,actions,cr_view_purch,12.94
2020 - 2,actions,cr_view_purch,12.38
