lt,user_id,first_day,rt
1,60234,1597754,3.77
2,42431,1597754,2.66
3,34511,1597754,2.16
4,29882,1597754,1.87
5,27258,1597754,1.71
6,25931,1597754,1.62
7,23319,1597754,1.46
8,20710,1597754,1.3
9,18715,1597754,1.17
10,17557,1597754,1.1
11,17116,1597754,1.07
12,16659,1597754,1.04
13,16751,1597754,1.05
14,16391,1597754,1.03
15,15058,1597754,0.94
16,13963,1597754,0.87
17,13235,1597754,0.83
18,12885,1597754,0.81
19,12972,1597754,0.81
20,12805,1597754,0.8
21,12223,1597754,0.77
22,11257,1597754,0.7
23,10851,1597754,0.68
24,10560,1597754,0.66
25,10220,1597754,0.64
26,10332,1597754,0.65
27,10459,1597754,0.65
28,10558,1597754,0.66
29,9618,1597754,0.6
30,9206,1597754,0.58
